time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.375660,5,397.315,498.886,2504.797,152.968,3043.902,439.123,4153.736,438.613,4725.727,134.103
0.381910,5,391.645,906.427,2434.164,143.645,3084.308,251.920,4164.179,548.548,4743.992,287.466
0.388160,5,379.521,767.473,2476.315,134.592,3192.545,116.755,4115.971,648.743,4778.097,214.974
0.394410,5,337.878,711.080,2480.833,107.068,3182.035,93.023,4171.152,498.812,4838.072,102.752
0.400660,5,58.920,1126.903,2437.950,163.993,3169.023,88.056,4248.882,781.808,4857.513,203.574
0.406910,5,243.383,1014.239,2381.571,297.313,3179.692,89.292,4311.170,954.178,4786.658,312.916
0.413160,5,470.856,814.801,2328.194,362.104,3165.895,90.206,4083.754,711.015,4825.854,217.715
0.419410,4,2510.083,375.004,3187.146,177.281,3803.025,1969.416,4736.524,215.403,--undefined--,--undefined--
0.425660,5,201.972,63.026,2462.878,527.589,2984.625,490.360,3822.900,1168.401,4761.563,151.097
0.431910,4,222.646,62.142,2478.885,297.028,3332.827,288.991,4676.453,463.603,--undefined--,--undefined--
0.438160,4,308.102,58.401,2394.102,108.655,3267.805,121.097,4299.351,1008.288,--undefined--,--undefined--
0.444410,4,320.489,50.750,2374.345,42.891,3206.186,186.224,3718.142,306.361,--undefined--,--undefined--
0.450660,4,314.182,56.401,2378.262,55.970,3128.713,236.876,3643.535,181.471,--undefined--,--undefined--
0.456910,4,315.722,45.610,2389.681,84.423,3050.932,323.806,3662.264,237.503,--undefined--,--undefined--
0.463160,4,315.136,33.734,2352.618,67.654,3045.661,426.351,3740.977,270.284,--undefined--,--undefined--
0.469410,4,317.164,31.965,2317.813,74.743,2984.383,362.250,3737.706,183.836,--undefined--,--undefined--
0.475660,5,314.143,19.818,2317.247,92.070,2607.816,2979.299,3106.374,384.426,3779.758,347.688
0.481910,5,313.441,16.186,2326.332,127.093,2619.099,1436.914,3183.067,509.022,3743.567,217.134
0.488160,5,313.859,17.953,2369.803,82.634,2656.915,1828.260,3227.392,550.670,3677.660,258.629
0.494410,5,312.412,19.137,2371.766,75.569,2543.713,2541.685,3171.778,443.283,3717.219,150.428
0.500660,5,313.362,21.027,2365.543,65.084,2539.441,5234.635,3098.119,301.059,3722.366,82.838
0.506910,4,315.776,28.477,2356.389,26.452,3172.533,218.839,3707.776,129.601,--undefined--,--undefined--
0.513160,4,317.272,32.054,2356.219,18.504,3233.775,208.453,3732.641,385.525,--undefined--,--undefined--
